,phonemes,overlap / correlation
0,"['p', 'b']",0.94
1,"['p', 't']",0.46
2,"['p', 'd']",0.36
3,"['p', 'k']",0.55
4,"['p', 'g']",0.41
5,"['p', 'f']",0.6
6,"['p', 'v']",0.5
7,"['p', 'θ']",0.28
8,"['p', 'ð']",-0.26
9,"['p', 's']",0.32
10,"['p', 'z']",0.2
11,"['p', 'h']",-0.14
12,"['p', 'š']",-0.19
13,"['p', 'ž']",0.26
14,"['p', 'č']",0.5
15,"['p', 'ǰ']",0.3
16,"['p', 'm']",-0.22
17,"['p', 'n']",-0.15
18,"['p', 'ŋ']",-0.15
19,"['p', 'r']",-0.38
20,"['p', 'l']",-0.4
21,"['p', 'i']",-0.45
22,"['p', 'ē']",-0.6
23,"['p', 'ɛ']",-0.68
24,"['p', 'æ']",-0.83
25,"['p', 'ā']",-0.85
26,"['p', 'ɔ']",-0.36
27,"['p', 'o']",-0.34
28,"['p', 'u']",-0.25
29,"['p', 'ʌ']",-0.68
30,"['b', 't']",0.39
31,"['b', 'd']",0.39
32,"['b', 'k']",0.52
33,"['b', 'g']",0.51
34,"['b', 'f']",0.52
35,"['b', 'v']",0.54
36,"['b', 'θ']",0.19
37,"['b', 'ð']",-0.3
38,"['b', 's']",0.24
39,"['b', 'z']",0.23
40,"['b', 'h']",-0.09
41,"['b', 'š']",-0.28
42,"['b', 'ž']",0.34
43,"['b', 'č']",0.43
44,"['b', 'ǰ']",0.35
45,"['b', 'm']",-0.22
46,"['b', 'n']",-0.04
47,"['b', 'ŋ']",0.01
48,"['b', 'r']",-0.25
49,"['b', 'l']",-0.28
50,"['b', 'i']",-0.29
51,"['b', 'ē']",-0.45
52,"['b', 'ɛ']",-0.49
53,"['b', 'æ']",-0.75
54,"['b', 'ā']",-0.73
55,"['b', 'ɔ']",-0.21
56,"['b', 'o']",-0.22
57,"['b', 'u']",-0.13
58,"['b', 'ʌ']",-0.51
59,"['t', 'd']",0.95
60,"['t', 'k']",0.61
61,"['t', 'g']",0.51
62,"['t', 'f']",0.63
63,"['t', 'v']",0.57
64,"['t', 'θ']",0.84
65,"['t', 'ð']",0.09
66,"['t', 's']",0.94
67,"['t', 'z']",0.88
68,"['t', 'h']",0.03
69,"['t', 'š']",0.07
70,"['t', 'ž']",0.77
71,"['t', 'č']",0.89
72,"['t', 'ǰ']",0.76
73,"['t', 'm']",-0.36
74,"['t', 'n']",0.55
75,"['t', 'ŋ']",0.03
76,"['t', 'r']",-0.63
77,"['t', 'l']",0.35
78,"['t', 'i']",0.09
79,"['t', 'ē']",-0.26
80,"['t', 'ɛ']",-0.34
81,"['t', 'æ']",-0.45
82,"['t', 'ā']",-0.63
83,"['t', 'ɔ']",-0.63
84,"['t', 'o']",-0.56
85,"['t', 'u']",-0.34
86,"['t', 'ʌ']",-0.51
87,"['d', 'k']",0.58
88,"['d', 'g']",0.59
89,"['d', 'f']",0.55
90,"['d', 'v']",0.6
91,"['d', 'θ']",0.77
92,"['d', 'ð']",0.08
93,"['d', 's']",0.88
94,"['d', 'z']",0.93
95,"['d', 'h']",0.08
96,"['d', 'š']",0.01
97,"['d', 'ž']",0.85
98,"['d', 'č']",0.84
99,"['d', 'ǰ']",0.82
100,"['d', 'm']",-0.36
101,"['d', 'n']",0.68
102,"['d', 'ŋ']",0.18
103,"['d', 'r']",-0.51
104,"['d', 'l']",0.5
105,"['d', 'i']",0.26
106,"['d', 'ē']",-0.1
107,"['d', 'ɛ']",-0.14
108,"['d', 'æ']",-0.35
109,"['d', 'ā']",-0.5
110,"['d', 'ɔ']",-0.5
111,"['d', 'o']",-0.45
112,"['d', 'u']",-0.24
113,"['d', 'ʌ']",-0.33
114,"['k', 'g']",0.93
115,"['k', 'f']",0.39
116,"['k', 'v']",0.34
117,"['k', 'θ']",0.52
118,"['k', 'ð']",0.04
119,"['k', 's']",0.44
120,"['k', 'z']",0.39
121,"['k', 'h']",0.42
122,"['k', 'š']",0.11
123,"['k', 'ž']",0.68
124,"['k', 'č']",0.87
125,"['k', 'ǰ']",0.8
126,"['k', 'm']",-0.17
127,"['k', 'n']",0.19
128,"['k', 'ŋ']",0.45
129,"['k', 'r']",-0.29
130,"['k', 'l']",-0.23
131,"['k', 'i']",-0.01
132,"['k', 'ē']",-0.2
133,"['k', 'ɛ']",-0.41
134,"['k', 'æ']",-0.33
135,"['k', 'ā']",-0.42
136,"['k', 'ɔ']",-0.42
137,"['k', 'o']",-0.26
138,"['k', 'u']",-0.14
139,"['k', 'ʌ']",-0.34
140,"['g', 'f']",0.26
141,"['g', 'v']",0.35
142,"['g', 'θ']",0.41
143,"['g', 'ð']",0.03
144,"['g', 's']",0.33
145,"['g', 'z']",0.41
146,"['g', 'h']",0.48
147,"['g', 'š']",0.03
148,"['g', 'ž']",0.74
149,"['g', 'č']",0.76
150,"['g', 'ǰ']",0.83
151,"['g', 'm']",-0.15
152,"['g', 'n']",0.31
153,"['g', 'ŋ']",0.62
154,"['g', 'r']",-0.13
155,"['g', 'l']",-0.07
156,"['g', 'i']",0.18
157,"['g', 'ē']",-0.01
158,"['g', 'ɛ']",-0.16
159,"['g', 'æ']",-0.19
160,"['g', 'ā']",-0.24
161,"['g', 'ɔ']",-0.24
162,"['g', 'o']",-0.11
163,"['g', 'u']",-0.0
164,"['g', 'ʌ']",-0.11
165,"['f', 'v']",0.93
166,"['f', 'θ']",0.7
167,"['f', 'ð']",0.13
168,"['f', 's']",0.67
169,"['f', 'z']",0.57
170,"['f', 'h']",-0.08
171,"['f', 'š']",0.11
172,"['f', 'ž']",0.51
173,"['f', 'č']",0.57
174,"['f', 'ǰ']",0.43
175,"['f', 'm']",-0.18
176,"['f', 'n']",0.07
177,"['f', 'ŋ']",-0.27
178,"['f', 'r']",-0.17
179,"['f', 'l']",0.12
180,"['f', 'i']",-0.2
181,"['f', 'ē']",-0.24
182,"['f', 'ɛ']",-0.32
183,"['f', 'æ']",-0.46
184,"['f', 'ā']",-0.65
185,"['f', 'ɔ']",-0.13
186,"['f', 'o']",-0.09
187,"['f', 'u']",-0.07
188,"['f', 'ʌ']",-0.48
189,"['v', 'θ']",0.62
190,"['v', 'ð']",0.12
191,"['v', 's']",0.6
192,"['v', 'z']",0.63
193,"['v', 'h']",-0.03
194,"['v', 'š']",0.04
195,"['v', 'ž']",0.61
196,"['v', 'č']",0.5
197,"['v', 'ǰ']",0.49
198,"['v', 'm']",-0.17
199,"['v', 'n']",0.2
200,"['v', 'ŋ']",-0.1
201,"['v', 'r']",-0.01
202,"['v', 'l']",0.3
203,"['v', 'i']",-0.02
204,"['v', 'ē']",-0.06
205,"['v', 'ɛ']",-0.09
206,"['v', 'æ']",-0.34
207,"['v', 'ā']",-0.5
208,"['v', 'ɔ']",0.04
209,"['v', 'o']",0.05
210,"['v', 'u']",0.07
211,"['v', 'ʌ']",-0.27
212,"['θ', 'ð']",0.5
213,"['θ', 's']",0.92
214,"['θ', 'z']",0.85
215,"['θ', 'h']",0.14
216,"['θ', 'š']",0.45
217,"['θ', 'ž']",0.8
218,"['θ', 'č']",0.82
219,"['θ', 'ǰ']",0.75
220,"['θ', 'm']",-0.05
